Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Board3\Project Outputs for Board3\Pick Place for Board3.csv

========================================================================================================================
File Design Information:

Date:       09/03/23
Time:       00:14
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C14","22pF","TopLayer","1206_Passive_Capacitor","70.000","1490.000","270","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C13","22uF","TopLayer","1206_Passive_Capacitor","330.000","1490.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C4","22pF","TopLayer","1206_Passive_Capacitor","2815.000","1375.000","135","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C3","22pF","TopLayer","1206_Passive_Capacitor","2970.000","1530.000","315","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"Y2","X322512MSB4SI","TopLayer","Crystal_resonator","196.690","1518.465","180","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS"
"Y1","X322516MLB4SI","TopLayer","Crystal_resonator","2891.385","1456.392","135","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS"
"U2","CH340G","TopLayer","USB_to_serial","255.000","1140.000","180","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS"
"U1","ATMEGA328P-ANR","TopLayer","ATMega328P","2635.682","1060.682","45","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"TP9","SDA","TopLayer","TP10x_Probe","1850.000","1545.000","270","Test Point 300 mil centers"
"TP8","SCL","TopLayer","TP10x_Probe","1625.000","1555.000","270","Test Point 300 mil centers"
"TP7","3.3V","TopLayer","TP10x_Probe","945.000","905.000","180","Test Point 300 mil centers"
"TP6","3.3V","TopLayer","TP10x_Probe","940.000","1230.000","180","Test Point 300 mil centers"
"TP5","3.3V","TopLayer","TP10x_Probe","1410.000","1545.000","270","Test Point 300 mil centers"
"TP3","16MHz","TopLayer","TP10x_Probe","2745.355","1525.355","225","Test Point 300 mil centers"
"TP4"," AVcc","TopLayer","TP10x_Probe","2420.355","739.645","315","Test Point 300 mil centers"
"TP2","Vcc","TopLayer","TP10x_Probe","1315.000","2145.000","90","Test Point 300 mil centers"
"TP1","PreR","TopLayer","TP10x_Probe","1130.000","2145.000","90","Test Point 300 mil centers"
"SW4","USBSW","TopLayer","2Pin-Header-Conn","520.000","1475.000","270","2Pin Header"
"SW3","Reset","TopLayer","Switch_JLC","1525.000","870.000","270","Tactile Switch SPST-NO Top Actuated Surface Mount"
"SW2","SW_2Pin_100mil_Switch","TopLayer","2Pin-Header-Conn","1905.000","915.000","360","2Pin Header"
"SW1","USB/Jack","TopLayer","3_PIN_100mil","885.000","1940.000","90","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"R7","1k","TopLayer","1206_Passive_Resitor","870.000","755.000","180","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R6","1k","TopLayer","1206_Passive_Resitor","865.000","1085.000","180","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R5","10k","TopLayer","1206_Passive_Resitor","1725.000","740.000","360","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R4","1k","TopLayer","1206_Passive_Resitor","990.000","2360.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R3","1k","TopLayer","1206_Passive_Resitor","1235.000","1470.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
