Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Board4\Project Outputs for Board4\Pick Place for Board4.csv

========================================================================================================================
File Design Information:

Date:       12/04/23
Time:       21:52
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R18","0 Ohm","TopLayer","1206_Passive_Resitor","1330.000","110.000","270","CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/4W 1206 ROHS"
"R17","0 Ohm","TopLayer","1206_Passive_Resitor","2015.000","160.000","270","CHIP RESISTOR - SURFACE MOUNT 0OHMS ±1% 1/4W 1206 ROHS"
"H4","Stencil Hole","TopLayer","AlignmentHole_1.5mm","3420.000","445.000","0","Stencil Allignment hole for use with 1.5mm pin"
"H3","Stencil Hole","TopLayer","AlignmentHole_1.5mm","805.000","90.000","0","Stencil Allignment hole for use with 1.5mm pin"
"H2","Stencil Hole","TopLayer","AlignmentHole_1.5mm","3380.000","3410.000","0","Stencil Allignment hole for use with 1.5mm pin"
"H1","Stencil Hole","TopLayer","AlignmentHole_1.5mm","210.000","3025.000","0","Stencil Allignment hole for use with 1.5mm pin"
"C23","22uF","TopLayer","1206_Passive_Capacitor","65.000","1100.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C22","22uF","TopLayer","1206_Passive_Capacitor","70.000","1600.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C21","22uF","TopLayer","1206_Passive_Capacitor","930.000","1625.000","0","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C20","22uF","TopLayer","1206_Passive_Capacitor","1435.000","1100.000","180","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"U5","ADS1115IDGSR","TopLayer","ADC_ADS1115IDGSR","1255.000","700.000","360","16-Bit ADC with Integrated MUX, PGA, Comparator, Oscillator, and Reference 10-VSSOP -40 to 125"
"U4","DAC IC","TopLayer","MCP4725","1504.921","857.402","180","IC DAC 12BIT V-OUT SOT23-6"
"U3","MCP6002T-I/SN","TopLayer","SOIC127P600X175-8N","1776.299","840.000","0","0.6 V/us 2 1MHz 1.8V ~ 6V 100µA General Purpose SOIC-8_150mil  Operational Amplifier ROHS"
"TP13","VRM","TopLayer","TP10x_Probe","1645.000","235.000","270","Test Point 300 mil centers"
"TP12","Current","TopLayer","TP10x_Probe","1035.000","260.000","270","Test Point 300 mil centers"
"TP11","Vth","TopLayer","TP10x_Probe","3245.000","645.000","360","Test Point 300 mil centers"
"TP10","DAC","TopLayer","TP10x_Probe","250.000","780.000","180","Test Point 300 mil centers"
"SW10","TL3305AF160QG","TopLayer","Switch_JLC","1175.000","1350.000","180","Tactile Switch SPST-NO Top Actuated Surface Mount"
"SW9","TL3305AF160QG","TopLayer","Switch_JLC","200.000","1350.000","180","Tactile Switch SPST-NO Top Actuated Surface Mount"
"ST","SW_2Pin_100mil_Switch","TopLayer","2Pin-Header-Conn","2040.000","505.000","90","2Pin Header"
"BJ","SW_2Pin_100mil_Switch","TopLayer","2Pin-Header-Conn","2285.000","505.000","90","2Pin Header"
"SW6","PREC003SAAN-RC","TopLayer","3_PIN_100mil","1340.000","375.000","180","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"USB","SW_2Pin_100mil_Switch","TopLayer","2Pin-Header-Conn","2162.500","505.000","90","2Pin Header"
"R16","10k","TopLayer","1206_Passive_Resitor","760.000","1350.000","90","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R15","10k","TopLayer","1206_Passive_Resitor","625.588","1350.000","90","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R14","10 Ohm","TopLayer","1206_Passive_Resitor","1180.000","110.000","90","CHIP RESISTOR - SURFACE MOUNT 0.1OHMS ±1% 1/4W 1206 ROHS"
"R13","1 Ohm","TopLayer","1206_Passive_Resitor","1475.000","110.000","90","1O ±5% 0.25W ±400ppm/? 1206 Chip Resistor - Surface Mount RoHS"
"R12","10k","TopLayer","1206_Passive_Resitor","1795.000","160.000","90","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R11","10k","TopLayer","1206_Passive_Resitor","1910.000","160.000","90","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R10","10k","TopLayer","1206_Passive_Resitor","1850.000","345.000","90","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R9","10k","TopLayer","1206_Passive_Resitor","3370.000","965.000","180","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R8","10k","TopLayer","1206_Passive_Resitor","3180.000","965.000","180","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"Q1","AO3400A","TopLayer","N-MOSFET","1855.000","585.000","0","MOSFET N Trench 30V 5.7A 1.5V @ 250uA 26.5 m? @ 5.7A,10V SOT-23-3L RoHS"
"P3","2P Screw Terminal Block","TopLayer","P_Terminal_block_3.5mm-pitch","2230.000","165.000","0","Green Straight pin 3.5mm  pitch; P=3.5mm  Screw terminal ROHS"
"P2","Power Jack","TopLayer","Power_Jack","3056.890","291.535","360","Power Barrel Connector Jack 2.10mm ID (0.083"), 5.50mm OD (0.217") Through Hole, Right Angle"
"P1","Power Jack","TopLayer","Power_Jack","448.110","3203.465","180","Power Barrel Connector Jack 2.10mm ID (0.083"), 5.50mm OD (0.217") Through Hole, Right Angle"
"J11","USB Mini","TopLayer","USB_MINI_B","2620.000","295.000","0","Through Hole USB Connectors RoHS"
"D5","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","270.000","1100.000","0","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D4","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","270.000","1600.000","0","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D3","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","1175.000","1575.000","0","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D2","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","1200.000","1100.000","180","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"C19","1uF","TopLayer","1206_Passive_Capacitor","895.000","1350.000","270","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"C18","1uF","TopLayer","1206_Passive_Capacitor","480.000","1350.000","270","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"C17","22uF","TopLayer","1206_Passive_Capacitor","1435.000","675.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C16","22uF","TopLayer","1206_Passive_Capacitor","1500.000","980.000","0","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C15","22uF","TopLayer","1206_Passive_Capacitor","1605.000","690.000","360","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"BZ1","AT-1224-TWT-5V-2-R","TopLayer","BUZZER-_TH","3230.000","1935.000","360","Buzzers Transducer, Externally Driven Electromechanical/Magnetic 5 V 40mA 2.4kHz 87dB @ 5V, 10cm Through Hole PC Pins"
"C14","22pF","TopLayer","1206_Passive_Capacitor","70.000","2490.000","270","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C13","22pF","TopLayer","1206_Passive_Capacitor","330.000","2490.000","270","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C4","22pF","TopLayer","1206_Passive_Capacitor","2815.000","2375.000","135","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C3","22pF","TopLayer","1206_Passive_Capacitor","2970.000","2530.000","315","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"Y2","X322512MSB4SI","TopLayer","Crystal_resonator","196.690","2518.465","180","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS"
"Y1","X322516MLB4SI","TopLayer","Crystal_resonator","2891.385","2456.392","135","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS"
"U2","CH340G","TopLayer","USB_to_serial","255.000","2140.000","180","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS"
"U1","ATMEGA328P-ANR","TopLayer","ATMega328P","2635.682","2060.682","45","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"TP9","SDA","TopLayer","TP10x_Probe","1850.000","2545.000","270","Test Point 300 mil centers"
"TP8","SCL","TopLayer","TP10x_Probe","1645.000","2555.000","270","Test Point 300 mil centers"
"TP7","TX","TopLayer","TP10x_Probe","945.000","1905.000","180","Test Point 300 mil centers"
"TP6","RX","TopLayer","TP10x_Probe","940.000","2230.000","180","Test Point 300 mil centers"
"TP5","3.3V","TopLayer","TP10x_Probe","1410.000","2545.000","270","Test Point 300 mil centers"
"TP3","16MHz","TopLayer","TP10x_Probe","2745.355","2525.355","225","Test Point 300 mil centers"
"TP4","AVcc","TopLayer","TP10x_Probe","2420.355","1739.645","315","Test Point 300 mil centers"
"TP2","Vcc","TopLayer","TP10x_Probe","1315.000","3145.000","90","Test Point 300 mil centers"
"TP1","PreR","TopLayer","TP10x_Probe","1130.000","3145.000","90","Test Point 300 mil centers"
"SW4","SW_2Pin_100mil_Switch","TopLayer","2Pin-Header-Conn","520.000","2475.000","270","2Pin Header"
"SW3","TL3305AF160QG","TopLayer","Switch_JLC","1525.000","1870.000","270","Tactile Switch SPST-NO Top Actuated Surface Mount"
"SW2","SW_2Pin_100mil_Switch","TopLayer","2Pin-Header-Conn","1905.000","1915.000","360","2Pin Header"
"SW1","PREC003SAAN-RC","TopLayer","3_PIN_100mil","885.000","2940.000","90","Connector Header Through Hole 3 position 0.100" (2.54mm)"
"R7","1k","TopLayer","1206_Passive_Resitor","870.000","1755.000","180","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R6","1k","TopLayer","1206_Passive_Resitor","865.000","2085.000","180","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R5","10k","TopLayer","1206_Passive_Resitor","1725.000","1740.000","360","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"R4","1k","TopLayer","1206_Passive_Resitor","990.000","3360.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R3","1k","TopLayer","1206_Passive_Resitor","1235.000","2470.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R2","500m","TopLayer","1206_Passive_Resitor","1176.000","2835.000","360","Resistors/Shunt 250mW 500mO ±800ppm/? ±5% 1206  Current Sense  Resistors ROHS"
"R1","1k","TopLayer","1206_Passive_Resitor","694.000","3050.000","180","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"PS1","AMS1117-3.3","TopLayer","LDO","870.000","2510.000","180","LOW DROPOUT REGULATORS(LDO) POSITIVE FIXED 1.3V @ 800MA 15V 3.3V 1A SOT-223 ROHS"
"LED5","Green","TopLayer","LED_1206","1080.000","1755.000","180","Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS"
"LED4","Blue","TopLayer","LED_1206","1075.000","2085.000","180","blue 1206  Light Emitting Diodes (LED) ROHS"
"LED3","Red","TopLayer","LED_1206","870.000","3360.000","90","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"LED2","Red","TopLayer","LED_1206","1235.000","2670.000","270","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"LED1","Red","TopLayer","LED_1206","635.000","2899.000","90","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"L1","FB_10uH_1206","TopLayer","AIML-1206_ABR-M","2305.000","2025.000","135","25mA 10uH ±10% 800mO 1206  Inductors (SMD) ROHS"
"J10","PPTC101LFBN-RC","TopLayer","10_PIN_100MIL_-_Female","2115.000","3275.000","360","10 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J9","PPTC081LFBN-RC","TopLayer","8_PIN_100MIL_-_Female","2375.000","775.000","360","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J8","PPTC061LFBN-RC","TopLayer","6_PIN_100MIL_-Female","3175.000","775.000","360","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J7","PPTC101LFBN-RC","TopLayer","10_PIN_ARDUINO_100MIL","2115.000","2975.000","360","10 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J6","PPTC061LFBN-RC","TopLayer","6_PIN_ARD-Analog_100mil","3175.000","1075.000","360","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J5","PPTC081LFBN-RC","TopLayer","8_PIN_ARD-DIG_100MIL","3075.000","2975.000","360","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J4","USB Mini","TopLayer","USB_MINI_B","300.000","2775.000","270","Through Hole USB Connectors RoHS"
"J3","PPTC081LFBN-RC","TopLayer","8_PIN_100MIL_-_Female","3075.000","3275.000","360","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J2","PPTC081LFBN-RC","TopLayer","8_PIN_ARD-PWR_100MIL","2375.000","1075.000","360","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J1","NRPN032PAEN-RC","TopLayer","ICSP","1885.000","2155.000","360","Connector Header Through Hole 6 position 0.079" (2.00mm)"
"D1","SRV05-4-P-T7","TopLayer","TVS","535.738","2730.000","360","TVS SOT-23-6 ROHS"
"C12","22uF","TopLayer","1206_Passive_Capacitor","589.000","2260.000","180","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
