Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\HabitSunrise\PCB_Project\Project Outputs for HabitSunrise\Pick Place for LED.csv

========================================================================================================================
File Design Information:

Date:       06/04/24
Time:       11:12
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"H4","Stencil Hole","TopLayer","AlignmentHole_1.5mm","1540.000","6280.000","0","Stencil Allignment hole for use with 1.5mm pin"
"H3","Stencil Hole","TopLayer","AlignmentHole_1.5mm","5460.000","6230.000","0","Stencil Allignment hole for use with 1.5mm pin"
"H2","Stencil Hole","TopLayer","AlignmentHole_1.5mm","5590.000","830.000","0","Stencil Allignment hole for use with 1.5mm pin"
"H1","Stencil Hole","TopLayer","AlignmentHole_1.5mm","1370.000","860.000","0","Stencil Allignment hole for use with 1.5mm pin"
"D108","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","2150.000","525.000","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D107","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","3525.000","525.000","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D106","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","4975.000","550.000","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D105","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","5700.000","1300.000","90","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D104","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","4200.000","1300.000","90","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D103","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","2800.000","1300.000","90","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D102","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","1300.000","1300.000","90","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"C108","22uF","TopLayer","1206_Passive_Capacitor","2350.000","575.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C107","22uF","TopLayer","1206_Passive_Capacitor","3725.000","575.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C106","22uF","TopLayer","1206_Passive_Capacitor","5200.000","600.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C105","22uF","TopLayer","1206_Passive_Capacitor","5500.000","1250.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C104","22uF","TopLayer","1206_Passive_Capacitor","4000.000","1250.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C103","22uF","TopLayer","1206_Passive_Capacitor","2600.000","1250.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C102","22uF","TopLayer","1206_Passive_Capacitor","1100.000","1250.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"Strip 2","10x Probe TP","TopLayer","TP10x_Probe","3300.000","6450.000","180","Test Point 300 mil centers"
"J1","TSW-104-14-S-S","TopLayer","JM-4_TSW-104-14-S-S","3500.000","6875.000","180","Square Pins 2.5mm 6mm -40?~+105? 1 4 3mm 2.54mm Black 1x4P Straight,P=2.54mm  Pin Headers ROHS"
"D101","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","625.000","2175.000","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D100","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","1925.000","2150.000","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D99","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","3525.000","2175.000","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D98","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","4925.000","2175.000","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D97","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","6450.000","2175.000","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D96","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","6300.000","4900.000","90","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D95","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","4900.000","4900.000","90","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D94","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","3375.000","4900.000","90","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D93","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","2000.000","4900.000","90","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D92","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","600.000","4900.000","90","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D91","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","1200.000","5675.001","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D90","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","2700.000","5700.000","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D89","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","4200.000","5700.000","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D88","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","5600.000","5700.000","270","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D87","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","4900.000","6400.000","90","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"D86","IN-PI55QATPRPGPBPW","TopLayer","SERIAL_LED_-_duplicate","2163.500","6406.299","90","LIGHT EMITTING DIODES (LED) RGB 620~630NM RED, 520~530NM GREEN, 465~475NM BLUE 600MCD@16MARED,1200MCD@16MAGREEN,300MCD@16MABLUE TOP VIEW SMD-4 ROHS"
"C101","22uF","TopLayer","1206_Passive_Capacitor","825.000","2225.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C100","22uF","TopLayer","1206_Passive_Capacitor","2125.000","2200.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C99","22uF","TopLayer","1206_Passive_Capacitor","3725.000","2225.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C98","22uF","TopLayer","1206_Passive_Capacitor","5125.000","2225.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C97","22uF","TopLayer","1206_Passive_Capacitor","6625.000","2225.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C96","22uF","TopLayer","1206_Passive_Capacitor","6100.000","4850.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C95","22uF","TopLayer","1206_Passive_Capacitor","4725.000","4850.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C94","22uF","TopLayer","1206_Passive_Capacitor","3175.000","4850.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C93","22uF","TopLayer","1206_Passive_Capacitor","1800.000","4850.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C92","22uF","TopLayer","1206_Passive_Capacitor","400.000","4850.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C91","22uF","TopLayer","1206_Passive_Capacitor","1400.000","5725.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C90","22uF","TopLayer","1206_Passive_Capacitor","2900.000","5750.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C89","22uF","TopLayer","1206_Passive_Capacitor","4400.000","5750.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C88","22uF","TopLayer","1206_Passive_Capacitor","5800.000","5750.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C87","22uF","TopLayer","1206_Passive_Capacitor","4700.000","6350.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C86","22uF","TopLayer","1206_Passive_Capacitor","1975.000","6350.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C83","22uF","TopLayer","1206_Passive_Capacitor","5575.000","2750.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
